연월일,품종코드,등급코드,총거래량(kg),주간평균단가(원),직팜산지코드,일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,총금액(원)
2018-01-02,07,13,16.0,4874.01804810742,1079,2.2,8.4,-2.9,67.0,0.0,0.0,1,0.0,0.0,48000.0
2018-01-02,06,11,196.0,4874.01804810742,1112,0.2,6.1,-4.0,76.5,0.0,0.0,1,0.0,0.0,1372000.0
2018-01-02,06,11,20.0,4874.01804810742,1079,2.2,8.4,-2.9,67.0,0.0,0.0,1,0.0,0.0,144000.0
2018-01-02,06,12,560.0,4874.01804810742,1107,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,3274000.0
2018-01-02,06,12,100.0,4874.01804810742,1102,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,460000.0
2018-01-02,17,20,150.0,4874.01804810742,2000,,,,,,,1,0.0,0.0,375000.0
2018-01-02,06,12,300.0,4874.01804810742,1102,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,1830000.0
2018-01-02,06,11,120.0,4874.01804810742,1001,-3.5,3.5,-9.4,55.1,0.0,0.0,1,0.0,0.0,840000.0
2018-01-02,06,11,54.0,4874.01804810742,1001,-3.5,3.5,-9.4,55.1,0.0,0.0,1,0.0,0.0,390000.0
2018-01-02,06,12,10.0,4874.01804810742,1001,-3.5,3.5,-9.4,55.1,0.0,0.0,1,0.0,0.0,57500.0
2018-01-02,06,11,1.0,4874.01804810742,1001,-3.5,3.5,-9.4,55.1,0.0,0.0,1,0.0,0.0,6500.0
2018-01-02,06,11,8.0,4874.01804810742,1001,-3.5,3.5,-9.4,55.1,0.0,0.0,1,0.0,0.0,52000.0
2018-01-02,06,12,20.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,126600.0
2018-01-02,06,11,36.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,249840.0
2018-01-02,06,11,2.0,4874.01804810742,1001,-3.5,3.5,-9.4,55.1,0.0,0.0,1,0.0,0.0,21210.0
2018-01-02,06,11,36.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,272520.0
2018-01-02,17,13,20.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,42430.0
2018-01-02,06,12,60.0,4874.01804810742,1034,-99.0,-99.0,-99.0,-9.0,0.0,0.0,1,0.0,0.0,330000.0
2018-01-02,06,12,60.0,4874.01804810742,1034,-99.0,-99.0,-99.0,-9.0,0.0,0.0,1,0.0,0.0,375000.0
2018-01-02,06,12,100.0,4874.01804810742,1034,-99.0,-99.0,-99.0,-9.0,0.0,0.0,1,0.0,0.0,535000.0
2018-01-02,05,13,40.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,105000.0
2018-01-02,04,12,25.0,4874.01804810742,1081,0.4,6.9,-5.5,72.3,0.0,0.0,1,0.0,0.0,90000.0
2018-01-02,06,12,20.0,4874.01804810742,1166,2.8,7.7,-2.1,79.0,0.0,0.0,1,0.0,0.0,80000.0
2018-01-02,17,13,80.0,4874.01804810742,1116,4.1,9.4,-0.3,39.6,0.0,0.0,1,0.0,0.0,200000.0
2018-01-02,06,12,100.0,4874.01804810742,1102,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,510000.0
2018-01-02,05,12,9.0,4874.01804810742,1130,3.2,8.6,-1.8,57.1,0.0,0.0,1,0.0,0.0,38000.0
