weekno,품종코드,등급코드,직팜산지코드,총금액(원),총거래량(kg),일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,평균단가(원)
2018_01,05,13,1065,189000.0,80.0,-7.0,0.7,-15.2,55.1,0.0,0.0,2,0.0,0.0,2362.0
2018_01,05,13,1070,105000.0,60.0,-5.4,-0.5,-10.5,39.6,0.0,0.0,1,0.0,0.0,1750.0
2018_01,05,13,1071,672000.0,200.0,-4.7,-0.7,-8.7,43.0,0.0,0.0,1,0.0,0.0,3360.0
2018_01,05,13,1085,1280000.0,640.0,-0.19999999999999998,3.8,-2.5,53.55,0.0,0.0,2,0.0,0.0,2000.0
2018_01,05,13,1102,90500.0,30.0,0.24999999999999997,6.7,-3.2,69.35,0.0,0.0,2,0.0,0.0,3017.0
2018_01,05,13,1103,232500.0,75.0,-0.10000000000000002,6.7,-4.1,69.03333333333333,0.0,0.0,3,0.0,0.0,3100.0
2018_01,05,13,1107,256315.0,140.0,-2.9,1.9,-8.7,57.36666666666667,0.0,0.0,3,0.0,0.0,1831.0
2018_01,05,13,1113,1165000.0,360.0,-1.05,3.9,-4.7,50.15,0.0,0.0,2,0.0,0.0,3236.0
2018_01,05,13,1116,872800.0,310.0,3.114285714285714,9.7,-1.7,36.728571428571435,1.6,0.0,7,0.0,0.0,2815.0
2018_01,05,13,1119,112000.0,40.0,2.6,8.8,-3.1,35.9,0.0,0.0,1,0.0,0.0,2800.0
2018_01,05,13,1120,93000.0,43.5,1.3,6.6,-4.5,31.25,0.0,0.0,2,0.0,0.0,2138.0
2018_01,05,13,1125,240000.0,120.0,2.9,6.3,-0.7,37.5,0.0,0.0,1,0.0,0.0,2000.0
2018_01,05,13,1127,52400.0,40.0,2.4,8.6,-2.7,37.9,0.0,0.0,1,0.0,0.0,1310.0
2018_01,05,13,1128,148800.0,80.0,2.4,8.6,-2.7,37.9,0.0,0.0,1,0.0,0.0,1860.0
2018_01,05,13,1131,240000.0,132.0,1.366666666666667,6.6,-3.9,40.53333333333333,0.0,0.0,3,0.0,0.0,1818.0
2018_01,05,13,1135,221000.0,110.0,1.675,8.4,-3.1,31.674999999999997,0.0,0.0,4,0.0,0.0,2009.0
2018_01,05,13,1136,20248500.0,7858.0,4.673529411764705,10.1,1.9,63.879411764705885,79.2,0.0,68,0.0,0.0,2577.0
2018_01,05,13,1137,579000.0,260.0,6.6000000000000005,9.9,3.6,74.66666666666667,5.8,0.0,3,0.0,0.0,2227.0
2018_01,05,13,1138,856680.0,384.0,-1.3,5.6,-8.3,32.6,0.0,0.0,4,0.0,0.0,2231.0
2018_01,05,13,1166,464500.0,170.0,1.0,2.5,-0.4,74.1,0.0,0.0,1,0.0,0.0,2732.0
2018_01,05,13,1170,4558700.0,1880.0,4.512499999999999,8.4,1.9,66.0625,10.2,0.0,8,0.0,0.0,2425.0
2018_01,06,11,1000,37662190.0,5767.0,-4.073333333333333,1.8,-10.5,43.21333333333333,0.0,0.0,45,0.0,0.0,6531.0
2018_01,06,11,1001,10055710.0,1510.0,-4.810526315789473,3.5,-11.7,61.93157894736842,0.0,0.0,19,0.0,0.0,6659.0
2018_01,06,11,1004,1752300.0,253.1,0.2888888888888889,7.6,-4.9,32.55555555555556,0.0,0.0,9,0.0,0.0,6923.0
2018_01,06,11,1008,2010000.0,300.0,-4.5,-0.7,-9.6,54.5,0.0,0.0,1,0.0,0.0,6700.0
2018_01,06,11,1025,6869000.0,990.0,-0.75,4.0,-5.5,66.55,0.0,0.0,8,0.0,0.0,6938.0
2018_01,06,11,1030,546500.0,80.0,-2.9,2.9,-6.9,67.45,0.0,0.0,2,0.0,0.0,6831.0
2018_01,06,11,1033,4950000.0,751.0,-2.466666666666667,2.6,-10.1,61.43333333333334,0.0,0.0,3,0.0,0.0,6591.0
2018_01,06,11,1034,18945000.0,2939.0,-25.16818181818182,2.9,-99.0,48.66363636363636,0.0,0.0,22,0.0,0.0,6446.0
2018_01,06,11,1036,25600000.0,4000.0,-1.925,3.3,-6.2,53.224999999999994,0.0,0.0,8,0.0,0.0,6400.0
2018_01,06,11,1047,7712000.0,1215.0,-4.229411764705882,0.8,-9.1,50.92941176470588,0.0,0.0,17,0.0,0.0,6347.0
2018_01,06,11,1050,4535000.0,760.0,-4.9,-1.0,-9.1,52.1,0.0,0.0,2,0.0,0.0,5967.0
2018_01,06,11,1055,5649000.0,810.0,-3.8000000000000003,-0.2,-7.6,52.84285714285714,0.0,0.0,7,0.0,0.0,6974.0
