weekno,품종코드,등급코드,직팜산지코드,총거래량(kg),일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,year,week,week_start,평균단가(원)
2018_01,5,13,1029,20.0,-1.0,2.9,-5.5,76.5,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2850.0
2018_01,5,13,1044,35.0,-3.9,2.0,-7.6,61.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2534.0
2018_01,5,13,1057,40.0,-4.9,1.4,-12.4,59.0,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2000.0
2018_01,5,13,1065,80.0,-7.0,0.7,-15.2,55.1,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,2362.0
2018_01,5,13,1070,60.0,-5.4,-0.5,-10.5,39.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,1750.0
2018_01,5,13,1071,200.0,-4.7,-0.7,-8.7,43.0,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,3360.0
2018_01,5,13,1085,640.0,-0.1999999999999999,3.8,-2.5,53.55,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,2000.0
2018_01,5,13,1102,30.0,0.2499999999999999,6.7,-3.2,69.35,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,3017.0
2018_01,5,13,1103,75.0,-0.1,6.7,-4.1,69.03333333333333,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,3100.0
2018_01,5,13,1107,140.0,-2.9,1.9,-8.7,57.36666666666667,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,1831.0
2018_01,5,13,1113,360.0,-1.05,3.9,-4.7,50.15,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,3236.0
2018_01,5,13,1116,310.0,3.114285714285714,9.7,-1.7,36.72857142857144,1.6,0.0,7,0.0,0.0,2018,01,2018-01-01,2815.0
2018_01,5,13,1119,40.0,2.6,8.8,-3.1,35.9,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2800.0
2018_01,5,13,1120,43.5,1.3,6.6,-4.5,31.25,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,2138.0
2018_01,5,13,1125,120.0,2.9,6.3,-0.7,37.5,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2000.0
2018_01,5,13,1127,40.0,2.4,8.6,-2.7,37.9,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,1310.0
2018_01,5,13,1128,80.0,2.4,8.6,-2.7,37.9,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,1860.0
2018_01,5,13,1131,132.0,1.366666666666667,6.6,-3.9,40.53333333333333,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,1818.0
2018_01,5,13,1135,110.0,1.675,8.4,-3.1,31.675,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,2009.0
2018_01,5,13,1136,7858.0,4.673529411764705,10.1,1.9,63.879411764705885,79.2,0.0,68,0.0,0.0,2018,01,2018-01-01,2577.0
2018_01,5,13,1137,260.0,6.6000000000000005,9.9,3.6,74.66666666666667,5.8,0.0,3,0.0,0.0,2018,01,2018-01-01,2227.0
2018_01,5,13,1138,384.0,-1.3,5.6,-8.3,32.6,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,2231.0
2018_01,5,13,1166,170.0,1.0,2.5,-0.4,74.1,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2732.0
2018_01,5,13,1170,1880.0,4.512499999999999,8.4,1.9,66.0625,10.2,0.0,8,0.0,0.0,2018,01,2018-01-01,2425.0
2018_01,6,11,1000,5767.0,-4.073333333333333,1.8,-10.5,43.21333333333333,0.0,0.0,45,0.0,0.0,2018,01,2018-01-01,6531.0
2018_01,6,11,1001,1510.0,-4.810526315789473,3.5,-11.7,61.93157894736842,0.0,0.0,19,0.0,0.0,2018,01,2018-01-01,6659.0
2018_01,6,11,1004,253.1,0.2888888888888889,7.6,-4.9,32.55555555555556,0.0,0.0,9,0.0,0.0,2018,01,2018-01-01,6923.0
