TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20180101,108,1.4,1188,29,3.8,1634,32,7.0,1633,-1.3,3.8,1538,-5.1,739,-13.9,-1.7,-11.5,39.1,19.0,1203,2.1,1.6,1.1,-9.00,1016.8,1027.8,1029.0,1058,1025.9,111,1.0,8.3,9.6,-9.0,6.14,1.10,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.7,5.9,9.0,15.5,17.6
20180102,108,1.8,1573,29,4.9,1355,27,8.5,1256,-1.8,1.8,1345,-4.3,2348,-14.1,-2.3,-9.4,42.0,19.0,1357,2.2,1.9,1.3,-9.00,1018.1,1029.2,1030.7,2350,1027.6,1514,2.3,7.9,9.6,-9.0,5.36,0.95,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.7,5.8,8.9,15.4,17.6
